0,0.44,0.42,0.43,266
1,0.17,0.62,0.27,186
2,0.32,0.68,0.44,186
3,0.32,0.75,0.45,200
4,0.32,0.42,0.37,170
5,0.29,0.77,0.43,179
6,0.32,0.65,0.43,203
7,0.89,0.47,0.61,161
8,0.74,0.33,0.46,165
9,0.35,0.38,0.36,152
10,0.78,0.57,0.66,174
11,0.49,0.19,0.27,156
12,0.59,0.11,0.19,143
13,0.33,0.52,0.40,165
14,0.23,0.59,0.33,157
15,0.40,0.47,0.43,167
16,0.20,0.34,0.25,169
17,0.75,0.02,0.04,157
18,0.61,0.46,0.52,137
19,0.38,0.02,0.04,141
20,0.46,0.69,0.55,159
21,0.95,0.41,0.57,169
22,0.00,0.00,0.00,154
23,0.81,0.50,0.62,164
24,0.69,0.12,0.21,162
25,0.77,0.07,0.13,140
26,0.62,0.03,0.05,189
27,0.94,0.10,0.18,164
28,0.67,0.03,0.06,134
29,0.37,0.18,0.25,137
30,0.50,0.01,0.03,146
31,0.60,0.03,0.06,103

surprised,excited,annoyed,proud,angry,sad,grateful,lonely,impressed,afraid,disgusted,confident,terrified,hopeful,anxious,disappointed,joyful,prepared,guilty,furious,nostalgic,jealous,anticipating,embarrassed,content,devastated,sentimental,caring,trusting,ashamed,apprehensive,faithful
